alcool;drogue;preuve;nivetud;regle;durprison;age_an;origine;raison;job;durliberte
2;1;0;12;1;18;20;W;3;N;0
2;1;0;12;0;6;20;W;3;N;0
2;2;1;12;1;6;21;B;3;Y;0
2;2;1;7;0;24;31;W;1;Y;0
1;2;7;4;0;7;51;W;3;N;0
2;2;0;12;1;28;26;W;1;Y;0
2;2;0;7;4;14;29;W;3;N;0
2;2;0;7;0;3;55;W;3;N;0
2;2;0;8;0;28;20;B;3;Y;0
2;2;0;9;0;2;21;W;3;N;0
1;2;0;9;0;9;21;B;3;N;0
1;2;3;7;0;3;39;W;3;N;0
2;2;0;10;0;30;30;B;3;Y;0
2;2;0;10;0;19;34;B;3;Y;0
2;2;0;12;1;16;25;W;3;Y;0
2;2;0;9;0;3;26;B;3;N;0
2;2;0;8;0;16;29;W;1;N;0
2;2;0;12;1;10;31;W;3;Y;0
1;2;0;2;0;18;25;W;2;N;0
1;2;2;5;0;13;52;W;3;Y;0
2;2;3;11;1;25;26;B;3;N;0
2;2;1;7;3;27;31;B;3;Y;0
1;1;0;8;0;27;23;B;3;Y;0
2;2;0;10;0;23;26;W;1;Y;0
2;2;0;8;0;17;52;W;3;N;0
2;2;0;13;1;14;28;B;1;Y;0
2;2;0;12;0;20;25;W;2;Y;0
2;2;0;7;0;4;18;W;3;N;0
2;1;3;10;0;27;42;W;1;Y;0
2;2;0;10;0;5;17;B;3;N;0
2;2;0;13;0;5;31;B;3;N;0
2;2;0;9;0;6;18;B;3;N;0
2;2;0;12;0;29;23;B;1;N;0
2;2;7;11;1;12;43;B;3;Y;0
1;2;1;12;0;3;23;B;3;Y;0
2;2;2;8;0;6;39;W;3;N;0
2;1;9;11;0;5;42;W;3;Y;0
2;2;6;10;7;35;27;B;1;Y;0
2;2;0;10;1;22;23;B;3;Y;0
2;1;3;8;5;39;30;W;1;Y;0
2;2;0;11;0;14;21;B;1;N;0
1;2;4;11;0;42;35;B;2;Y;0
2;2;0;12;1;14;24;B;3;N;0
2;2;0;7;0;6;30;B;3;N;0
2;1;0;10;0;6;42;B;3;N;0
2;2;0;9;0;4;25;W;3;N;0
2;2;0;12;0;5;40;W;3;Y;0
1;2;0;12;0;23;26;B;1;Y;0
2;2;1;7;0;8;52;W;3;N;0
1;2;0;10;0;3;19;W;3;N;0
2;2;0;8;1;12;23;W;3;Y;0
2;2;4;8;0;45;36;B;3;Y;0
2;2;0;8;2;18;22;W;3;N;0
2;1;0;8;1;5;25;B;3;Y;0
2;2;0;12;1;8;23;B;3;N;0
2;2;1;7;0;8;22;B;3;Y;0
1;1;13;9;0;12;46;W;3;Y;0
2;1;0;10;1;38;30;W;2;Y;0
2;1;6;6;0;6;36;W;3;Y;0
2;2;0;10;0;11;20;W;3;N;0
1;2;2;12;0;11;29;W;3;N;0
1;2;3;10;0;9;30;B;3;N;0
2;1;0;10;2;7;33;W;3;N;0
2;2;0;11;0;61;30;B;3;N;0
2;2;0;10;0;10;20;W;3;N;0
1;1;0;6;0;33;30;W;3;N;0
2;2;0;9;0;35;23;B;1;Y;0
2;2;0;10;0;2;30;B;3;N;0
2;2;4;15;0;2;40;W;3;N;0
2;2;0;12;0;14;25;B;3;Y;0
2;2;0;12;0;10;22;W;3;N;0
2;2;0;9;4;18;21;B;1;N;0
2;2;0;9;2;21;26;W;3;Y;0
1;2;2;12;2;11;25;W;3;N;0
1;2;3;2;0;7;61;W;3;N;0
2;2;0;8;3;35;24;W;3;Y;0
2;2;5;10;0;13;41;B;3;Y;0
2;2;0;12;0;14;25;W;3;Y;0
2;2;0;10;1;8;19;B;3;N;0
2;2;2;5;0;20;32;B;1;Y;0
2;2;0;11;1;31;22;B;1;Y;0
2;2;0;9;2;6;18;W;3;N;0
1;2;3;6;0;4;38;W;3;N;0
2;2;4;9;0;31;64;B;2;Y;0
2;1;0;12;0;11;46;W;1;N;0
2;2;0;14;1;5;21;B;3;N;0
2;2;1;12;0;21;38;B;1;Y;0
2;2;0;11;0;6;24;W;3;N;0
2;1;0;12;0;20;28;B;1;Y;0
1;1;0;8;0;10;20;W;3;N;0
2;2;3;3;0;4;42;W;3;Y;0
1;2;1;8;0;3;31;W;3;N;0
2;2;5;12;1;42;31;B;1;Y;0
2;2;0;11;0;6;19;B;3;N;0
2;2;0;8;0;7;27;B;3;Y;0
1;2;1;11;0;5;46;B;1;N;0
2;2;0;11;0;8;21;B;3;N;0
2;2;1;9;2;9;21;W;3;N;0
2;2;0;9;0;4;18;W;3;N;0
2;2;0;12;2;6;19;B;3;N;0
1;1;8;10;0;25;35;B;3;Y;0
2;2;3;11;3;41;27;W;1;N;0
1;1;0;12;0;8;37;B;3;N;0
2;2;2;11;1;22;22;W;1;N;0
2;2;1;10;1;24;24;B;1;Y;0
1;2;10;9;1;34;36;W;1;Y;0
2;1;0;9;0;5;29;W;3;Y;0
2;2;0;9;3;15;21;W;3;N;0
1;2;2;7;0;2;48;W;3;N;0
2;2;0;10;0;2;17;W;3;N;0
1;1;3;12;0;25;33;W;3;N;0
2;2;1;11;0;3;24;B;3;N;0
2;2;1;12;3;30;18;B;1;N;0
2;1;1;12;0;40;38;B;2;N;0
2;2;1;12;0;3;23;W;3;Y;0
2;2;1;14;0;9;27;B;1;Y;0
1;2;4;9;0;5;42;B;3;Y;0
2;2;0;11;0;4;19;B;1;N;0
1;2;1;8;0;5;58;W;3;N;0
2;2;0;9;0;12;36;W;1;Y;0
2;1;0;7;0;4;17;W;3;N;0
2;2;0;12;0;6;30;W;3;Y;0
1;2;2;14;0;4;42;W;3;N;0
2;2;0;11;0;6;19;B;3;N;0
1;1;0;8;1;30;53;W;1;Y;0
2;1;0;7;0;23;56;B;3;Y;0
2;2;0;9;0;9;20;W;3;Y;0
2;2;4;11;6;46;24;B;3;N;0
1;2;0;12;0;4;28;W;3;N;0
2;2;0;13;3;18;24;W;3;Y;0
2;2;0;10;0;8;20;W;3;N;0
2;2;0;12;1;27;23;B;2;Y;0
2;2;0;10;0;3;21;B;3;N;0
2;2;0;12;0;8;23;B;3;Y;0
2;2;0;19;0;6;39;W;3;Y;0
2;2;0;6;0;24;49;W;2;N;0
2;2;7;12;0;43;41;W;1;N;0
2;2;1;12;1;16;24;W;3;N;0
2;2;0;12;3;33;24;B;3;Y;0
2;1;0;9;4;22;28;B;3;Y;0
2;1;1;12;0;4;51;W;3;N;0
2;2;1;11;0;3;41;B;3;N;0
2;2;0;8;0;32;23;B;2;Y;0
1;2;0;3;0;6;45;B;3;N;0
2;2;2;9;0;20;36;B;3;Y;0
2;1;0;7;0;17;28;W;3;Y;0
1;2;2;6;0;7;58;W;3;N;0
2;1;2;9;0;7;31;W;1;N;0
2;1;0;10;1;15;25;W;3;N;0
2;2;0;10;0;1;18;W;3;N;0
2;2;0;9;0;5;21;W;3;N;0
2;2;0;7;0;5;29;W;3;N;0
2;1;8;10;2;38;44;W;3;Y;0
2;2;0;12;1;30;24;B;1;N;0
2;1;0;13;0;5;27;B;3;N;0
2;2;0;8;0;7;18;B;3;N;0
2;2;4;8;0;45;23;W;1;N;0
2;2;0;10;1;10;21;W;3;N;0
1;2;4;6;0;6;33;W;3;Y;0
2;2;0;10;1;31;24;W;3;Y;0
2;2;0;12;0;6;21;W;3;N;0
1;2;0;12;0;8;30;W;3;Y;0
1;1;0;11;2;26;35;W;2;N;0
2;2;0;16;0;8;43;W;3;Y;0
1;2;0;8;0;3;37;B;3;Y;0
2;2;0;8;2;25;22;W;1;Y;0
2;2;0;11;0;16;19;B;1;Y;0
2;2;0;14;0;3;28;W;3;Y;0
2;2;0;9;0;7;34;B;3;Y;0
2;2;0;12;0;5;30;W;3;N;0
2;1;0;10;0;3;21;W;3;N;0
2;1;0;7;0;12;44;W;3;N;0
2;2;7;12;0;6;52;W;3;N;0
2;2;1;12;0;26;25;B;1;Y;0
2;2;0;8;0;7;38;W;3;Y;0
2;2;0;10;0;1;17;W;3;N;0
2;2;0;12;0;5;25;W;3;Y;0
1;1;0;10;1;4;18;W;3;N;0
2;2;1;3;0;10;51;B;3;Y;0
2;2;1;8;3;28;21;B;1;Y;0
2;2;4;10;0;29;54;B;1;N;0
2;2;0;6;0;6;37;B;3;N;0
2;2;0;11;0;15;20;B;2;N;0
1;1;2;9;7;46;23;W;1;N;0
1;2;3;8;0;5;51;W;3;N;0
2;2;0;8;0;23;23;W;1;Y;0
1;2;1;12;2;13;46;W;3;N;0
2;2;0;8;0;15;20;W;1;Y;0
2;2;0;7;0;1;26;B;1;N;0
1;2;1;10;0;4;54;W;3;N;0
1;2;0;12;0;2;33;W;3;N;0
2;2;2;4;0;6;38;W;3;Y;0
1;2;1;8;1;11;20;W;3;N;0
2;2;0;11;0;2;17;W;3;N;0
2;2;0;10;0;14;28;B;3;Y;0
1;2;1;10;1;13;22;W;3;Y;0
1;1;0;10;1;4;21;W;3;N;0
2;2;0;11;0;7;21;B;3;Y;0
2;2;0;12;1;19;24;B;3;Y;0
2;1;0;8;7;23;21;W;1;N;0
2;2;0;12;0;6;27;B;3;N;0
2;2;0;11;0;5;19;B;3;N;0
1;1;4;11;5;24;29;W;3;N;0
2;1;0;4;0;12;50;B;3;N;0
1;1;0;8;0;4;20;W;3;N;0
2;2;0;13;1;32;25;W;1;Y;0
1;1;2;1;1;41;51;W;2;Y;0
2;2;1;7;0;23;58;B;1;Y;0
2;2;1;12;1;23;35;B;3;Y;0
2;1;0;10;1;28;22;B;3;N;0
2;2;1;13;1;6;20;B;3;N;0
2;2;0;9;0;6;17;W;3;N;0
1;2;0;11;0;4;26;B;3;Y;0
2;1;0;3;0;25;49;W;2;Y;0
2;2;0;10;4;26;26;W;1;Y;0
2;1;0;8;1;10;20;W;1;N;0
2;2;0;10;0;26;23;W;3;Y;0
2;1;0;7;2;8;25;B;3;N;0
2;2;0;8;4;45;23;W;1;Y;0
1;2;0;11;0;4;34;B;3;N;0
2;2;0;11;0;8;18;B;3;N;0
2;2;1;9;0;6;24;B;3;Y;0
1;2;0;9;0;6;20;W;3;N;0
2;2;0;11;0;20;20;B;1;N;0
2;2;0;8;1;6;19;W;3;N;0
2;2;0;8;1;10;28;B;3;Y;0
2;2;0;9;0;20;35;W;1;Y;0
2;2;0;8;0;15;26;B;3;Y;0
2;2;7;8;1;27;30;W;2;Y;0
2;2;0;9;0;23;21;B;1;N;0
1;1;0;10;7;72;22;W;1;Y;0
2;1;0;10;0;7;26;W;3;Y;0
1;2;28;9;0;7;59;B;3;N;0
2;2;0;6;0;24;26;B;1;N;0
2;1;0;11;1;8;28;B;3;Y;0
2;2;0;3;0;11;72;W;3;N;0
2;2;2;5;1;24;22;B;2;Y;0
2;1;5;8;1;6;34;W;3;N;0
1;1;4;10;0;7;26;B;3;Y;0
2;2;1;12;1;17;23;W;3;Y;0
1;1;0;9;0;29;33;W;3;Y;0
2;2;5;3;0;40;59;W;2;Y;0
1;2;0;9;0;44;25;B;2;N;0
2;2;1;7;0;6;24;B;3;N;0
2;1;0;9;0;13;19;W;3;N;0
2;2;4;4;1;29;41;B;1;Y;0
1;2;6;12;1;16;38;B;3;N;0
2;2;1;12;0;9;29;B;2;N;0
2;2;2;13;1;32;34;W;3;Y;0
2;2;0;10;1;5;19;B;3;N;0
2;2;0;12;2;23;21;B;1;Y;0
2;1;5;10;5;56;30;W;1;Y;0
2;2;5;8;0;9;41;W;3;Y;0
2;2;0;12;0;12;26;B;3;Y;0
2;1;19;3;0;22;53;B;3;Y;0
2;1;7;4;0;19;66;W;3;N;0
2;2;0;9;1;24;25;B;2;Y;0
2;2;0;8;0;6;27;W;3;N;0
1;2;2;11;0;5;35;B;3;N;0
2;2;0;13;0;24;31;B;1;N;0
2;2;2;4;3;164;51;W;3;Y;0
1;2;0;9;0;3;22;W;3;Y;0
2;2;0;6;3;10;34;W;3;Y;0
2;2;1;11;21;31;22;B;1;N;0
2;1;2;7;0;10;34;W;1;N;0
1;2;3;9;0;0;48;W;3;N;0
2;1;0;12;1;5;25;W;3;Y;0
2;2;6;11;7;43;26;W;3;Y;0
2;2;1;11;0;5;21;B;3;N;0
1;1;7;8;0;12;53;W;3;N;0
2;1;1;9;0;11;28;W;3;Y;0
2;2;0;14;0;23;31;B;3;Y;0
2;2;0;10;9;45;21;W;3;N;0
1;2;6;9;0;4;37;W;3;Y;0
2;2;0;12;0;18;47;W;3;Y;0
1;2;2;6;1;6;25;B;3;N;0
2;2;0;12;1;11;29;W;1;Y;0
2;1;1;5;1;6;42;W;3;Y;0
2;1;1;12;3;34;23;W;3;N;0
2;2;0;14;1;5;25;B;3;N;0
2;2;0;12;1;30;26;B;1;N;0
2;1;7;12;2;20;30;W;3;N;0
2;2;5;9;12;42;23;W;1;Y;0
2;1;0;12;0;17;25;W;3;Y;0
2;2;2;10;8;28;23;B;1;Y;0
2;2;1;10;0;34;27;B;1;Y;0
2;2;1;12;1;23;27;B;3;Y;0
2;2;0;10;1;8;25;W;3;N;0
2;2;1;11;2;9;23;B;3;N;0
2;2;0;12;1;35;22;W;1;N;0
2;2;0;12;0;9;21;W;3;Y;0
1;2;3;6;0;7;64;W;3;N;0
2;2;1;11;0;38;22;W;1;N;0
2;1;6;8;4;14;30;W;3;N;0
2;2;0;9;0;5;17;W;3;N;0
1;1;2;9;0;4;24;W;3;N;0
2;2;4;4;1;8;45;W;3;N;0
2;2;0;8;0;28;27;W;1;Y;0
2;2;2;10;2;66;28;B;1;Y;0
2;2;0;8;3;22;27;B;2;N;0
2;1;0;10;0;6;48;W;3;N;0
2;2;0;10;0;14;20;W;1;N;0
2;2;4;6;0;8;42;B;3;Y;0
2;2;0;8;0;29;21;W;2;Y;0
2;2;0;12;0;28;31;B;1;Y;0
2;2;11;11;1;42;40;W;1;Y;0
2;2;0;10;0;13;20;W;3;Y;0
2;2;0;12;0;24;29;B;2;N;0
2;2;0;10;1;13;24;W;1;N;0
2;2;0;12;1;16;25;B;3;Y;0
2;2;0;12;2;16;30;B;1;N;0
2;2;2;11;4;34;26;B;3;Y;0
2;1;1;9;0;29;27;B;1;Y;0
2;2;0;14;1;4;27;B;3;Y;0
2;2;1;10;0;28;30;B;3;Y;0
1;2;2;10;1;7;41;B;3;N;0
1;2;0;3;0;7;58;W;1;N;0
2;2;4;4;9;219;44;W;1;N;0
2;1;0;11;0;3;21;W;3;N;0
2;2;0;8;1;17;21;B;1;N;0
2;2;0;12;0;6;29;B;3;Y;0
1;2;3;9;1;6;30;W;3;N;0
2;2;10;12;2;19;40;W;3;Y;0
2;2;0;9;1;23;22;W;1;N;0
2;2;0;12;0;8;28;B;3;Y;0
1;2;1;12;2;28;26;B;3;Y;0
2;2;3;10;0;23;33;W;1;Y;0
1;2;0;10;0;11;21;B;3;Y;0
2;2;1;10;1;36;28;B;1;Y;0
2;2;1;14;0;8;28;W;3;Y;0
2;2;0;10;0;14;19;B;3;N;0
2;2;0;12;1;17;22;B;3;N;0
2;2;0;9;0;23;21;B;3;N;0
2;2;0;11;3;35;30;W;3;Y;0
2;2;0;11;0;15;22;B;3;N;0
2;2;0;9;2;20;22;B;3;N;0
2;1;3;12;0;21;28;B;3;Y;0
2;1;15;10;3;40;27;B;1;Y;0
1;2;0;10;0;4;36;B;3;Y;0
2;1;0;11;0;4;18;B;3;N;0
2;2;0;11;0;14;24;B;3;N;0
2;2;0;12;0;7;28;W;3;N;0
2;2;5;9;1;72;34;W;1;N;0
2;2;3;9;0;6;36;B;3;Y;0
2;2;0;10;0;15;34;B;2;Y;0
2;2;0;9;1;5;19;W;3;N;0
2;2;0;11;2;13;22;W;3;N;0
2;2;3;7;1;29;47;W;1;Y;0
2;2;1;7;0;26;26;B;1;Y;0
1;1;0;11;0;20;22;W;3;N;0
2;2;0;14;0;10;21;W;3;Y;0
2;1;1;11;2;30;23;W;1;Y;0
1;2;2;13;0;13;29;W;3;Y;0
2;1;3;8;0;10;57;W;3;N;0
2;1;2;8;1;9;29;W;1;Y;0
2;1;0;9;0;21;20;W;1;N;0
2;2;0;8;0;3;18;W;3;N;0
2;2;0;10;0;4;19;W;3;N;0
2;1;0;8;0;4;26;W;3;Y;0
2;1;1;9;2;13;21;B;3;N;0
2;1;0;9;27;34;23;W;1;N;0
2;2;0;11;0;9;35;B;3;Y;0
2;2;0;12;0;15;22;W;3;Y;0
2;2;0;12;1;12;25;W;3;Y;0
2;2;0;12;0;8;20;B;3;N;0
1;2;0;8;0;4;43;W;3;Y;0
2;1;0;12;1;16;22;W;3;Y;0
1;1;2;11;3;6;23;W;1;N;0
2;2;0;12;0;8;27;W;3;N;0
2;2;0;12;0;9;20;W;3;N;0
2;2;0;11;0;5;25;B;3;N;0
2;2;6;12;1;26;33;W;1;Y;0
2;2;0;12;0;12;27;W;3;Y;0
2;2;7;8;0;24;31;B;1;Y;0
2;2;0;16;0;4;28;W;3;N;0
2;2;0;11;0;15;31;W;1;Y;0
2;2;0;9;0;8;25;W;3;Y;0
2;2;0;8;0;7;17;W;3;N;0
2;2;2;8;0;6;67;W;3;N;0
2;2;0;12;1;26;24;B;1;Y;0
1;2;0;7;0;9;25;W;3;Y;0
2;2;0;10;0;12;26;W;3;Y;0
2;2;1;6;0;42;30;B;3;Y;0
2;2;0;9;0;9;21;B;3;N;0
2;2;1;10;1;3;27;B;3;Y;0
2;2;2;9;0;44;46;B;2;Y;0
2;2;1;9;1;29;28;W;1;Y;0
2;2;0;7;0;5;27;W;3;N;0
2;2;1;11;1;36;28;B;1;N;0
2;2;0;10;4;23;21;B;1;N;0
1;2;0;9;1;12;22;W;1;N;0
2;2;1;12;2;5;22;W;3;N;0
1;2;0;11;0;6;43;B;3;N;0
2;2;2;8;1;113;30;W;3;N;0
1;2;0;8;1;9;23;B;3;N;0
2;1;0;14;4;15;27;B;3;Y;0
2;2;0;12;0;9;20;W;3;N;0
2;2;0;9;0;21;20;B;1;N;0
2;2;0;11;0;5;23;W;2;N;0
2;1;0;8;2;12;39;B;3;Y;0
2;1;4;9;2;11;41;B;3;Y;0
1;2;0;10;0;29;28;B;1;Y;0
2;1;2;9;2;38;28;B;1;Y;0
2;2;0;9;1;10;21;B;1;N;0
2;2;0;9;1;7;22;W;3;N;0
2;2;0;12;1;7;21;W;3;N;0
2;2;0;11;2;17;23;W;3;N;0
2;2;0;8;0;21;21;W;3;Y;0
2;2;0;10;0;8;26;W;1;Y;0
1;2;0;13;0;6;24;W;3;N;0
1;2;1;14;4;40;25;W;1;N;0
2;2;1;8;0;15;25;B;3;N;0
1;2;0;11;4;31;29;W;1;Y;0
1;2;1;8;1;11;31;W;3;N;0
2;2;6;8;2;58;39;W;1;Y;0
2;2;1;12;2;34;32;W;1;Y;0
2;2;0;9;1;20;26;W;1;N;0
2;2;1;4;2;14;22;W;1;Y;0
1;2;0;10;0;7;24;W;3;Y;0
2;1;0;11;0;6;21;W;3;N;0
1;2;10;9;3;35;23;B;1;N;0
2;2;0;10;0;5;21;B;3;N;0
2;2;0;12;0;28;24;B;3;N;0
1;2;0;8;0;9;32;W;3;N;0
1;1;0;15;0;7;42;W;3;Y;0
2;1;2;11;2;11;46;W;3;Y;0
2;1;0;10;2;17;23;B;2;Y;0
2;2;2;11;5;25;34;B;2;Y;0
2;2;0;12;0;8;21;W;1;N;0
2;2;6;9;1;6;26;W;3;Y;0
1;2;1;11;0;5;36;B;3;N;0
2;2;1;11;0;5;32;B;3;N;0
2;2;0;9;10;15;23;B;3;N;0
2;2;0;7;0;43;35;B;3;Y;0
1;2;0;18;0;8;39;W;3;Y;0
1;2;0;14;0;4;35;W;3;Y;0
2;2;0;10;0;21;23;B;1;Y;0
2;1;6;1;0;6;47;B;3;N;0
2;1;11;9;0;24;53;B;3;Y;0
1;2;1;12;0;11;25;W;3;Y;0
2;2;7;4;0;23;55;W;1;Y;0
2;1;0;3;1;14;40;W;3;N;0
2;1;0;10;0;6;25;B;3;N;0
2;2;0;12;3;14;26;B;3;Y;0
2;2;1;9;1;35;27;B;2;Y;0
2;2;0;13;1;15;22;B;3;Y;0
2;2;0;13;0;26;36;B;1;Y;0
2;2;0;12;2;30;23;W;1;Y;0
2;1;2;3;0;11;48;B;3;N;0
2;1;0;8;2;40;39;W;2;Y;0
2;2;0;11;0;6;18;B;3;N;0
2;1;0;12;0;20;25;B;2;N;0
2;2;0;8;0;35;22;B;2;Y;0
2;2;1;8;0;28;29;B;1;Y;0
1;1;6;11;5;68;27;W;1;Y;0
2;1;0;12;1;16;28;W;1;Y;0
2;1;0;6;0;8;42;B;3;Y;0
2;1;0;5;1;11;26;B;3;Y;0
1;2;0;12;0;5;41;B;3;N;0
2;2;0;11;0;7;21;B;3;N;0
2;2;21;11;0;13;67;B;1;Y;0
2;2;0;2;0;21;39;B;2;Y;0
2;1;0;10;5;63;23;B;1;N;0
2;2;7;7;0;13;57;W;1;Y;0
2;2;0;11;0;5;24;B;3;N;0
2;2;3;13;0;16;24;W;1;Y;0
2;2;0;10;1;24;21;B;1;N;0
2;1;0;16;0;12;26;B;3;N;0
2;2;0;10;0;4;21;B;3;N;0
2;2;0;9;1;18;21;B;1;Y;0
2;2;3;7;4;33;24;W;3;Y;0
1;2;0;9;2;18;25;W;1;N;0
2;1;0;9;2;13;22;W;3;N;0
2;2;2;10;7;107;27;B;1;Y;0
2;2;0;10;1;9;24;B;1;Y;0
2;2;0;11;0;4;18;B;3;N;0
2;2;0;11;0;29;24;W;3;N;0
2;2;0;7;0;29;25;W;1;Y;0
2;2;1;10;1;8;23;B;3;Y;0
2;1;0;10;2;13;23;B;3;N;0
1;2;2;7;1;14;28;B;1;Y;0
2;2;0;8;3;27;22;W;1;Y;0
2;1;0;18;0;3;44;B;3;N;0
1;2;3;12;0;5;53;W;3;N;0
1;1;0;9;0;2;19;W;3;N;0
2;1;1;7;10;36;22;W;1;Y;0
2;1;0;7;0;14;36;W;3;Y;0
2;1;0;6;0;11;39;W;3;Y;0
2;2;1;9;0;39;35;B;3;Y;0
2;2;0;8;0;4;21;W;3;N;0
2;2;1;12;0;33;29;B;1;Y;0
2;2;1;9;0;7;38;W;3;Y;0
2;2;0;9;0;9;19;W;3;N;0
2;1;0;11;3;39;26;B;1;Y;0
2;1;0;8;0;13;27;B;3;Y;0
2;2;1;12;0;16;31;B;3;Y;0
1;2;2;7;0;6;32;W;1;Y;0
1;2;0;9;1;21;25;W;3;N;0
1;2;2;7;0;9;34;W;3;N;0
2;2;0;12;5;28;22;B;3;N;0
2;1;0;8;1;12;40;W;3;N;0
2;2;0;12;0;9;24;B;3;Y;0
1;2;1;7;0;6;20;W;3;N;0
2;2;1;8;1;9;27;B;3;Y;0
1;2;4;10;4;45;27;B;1;Y;0
2;2;1;12;1;19;28;W;1;Y;0
2;2;0;9;0;26;23;B;3;Y;0
2;2;0;10;0;2;20;W;1;N;0
1;2;0;10;0;6;22;W;3;N;0
2;1;6;6;3;51;38;W;1;Y;0
2;2;1;16;0;29;29;B;1;N;0
2;2;0;12;1;22;22;B;1;Y;0
2;1;0;10;1;8;19;W;3;N;0
2;2;0;11;0;10;25;B;3;Y;0
2;2;0;9;0;10;21;W;3;N;0
2;1;2;9;0;6;27;W;3;Y;0
2;2;0;12;1;16;27;B;3;N;0
2;2;0;11;0;17;20;W;1;Y;0
1;2;3;10;16;84;32;W;2;Y;0
2;1;2;6;0;22;45;W;1;Y;0
2;2;1;18;0;12;36;B;1;N;0
2;2;6;7;0;67;39;W;1;N;0
2;1;1;8;0;5;53;W;3;N;0
2;2;1;10;3;12;19;W;3;Y;0
2;1;0;4;4;20;48;W;2;N;0
1;1;0;13;0;4;28;W;3;Y;0
2;2;0;9;2;18;21;B;3;N;0
2;2;1;11;7;78;33;B;1;Y;0
2;2;0;2;0;8;58;W;3;Y;0
2;2;1;8;1;13;19;W;3;Y;0
2;2;0;9;0;4;17;W;3;N;0
2;2;1;12;1;4;28;W;3;N;0
1;1;2;7;0;13;28;W;3;N;0
1;2;3;2;0;4;36;B;3;N;0
2;2;1;10;3;33;23;W;1;N;0
1;2;4;6;1;8;46;W;3;Y;0
2;2;0;8;0;20;35;W;2;Y;0
2;2;4;10;2;89;39;W;1;Y;0
2;2;0;4;0;6;29;W;3;N;0
2;2;0;14;1;45;31;B;1;N;0
2;2;0;9;0;7;19;B;3;N;0
2;2;6;9;0;7;32;W;3;Y;0
2;2;0;12;3;44;27;W;2;N;0
2;1;0;6;0;5;23;W;3;N;0
2;2;0;16;0;6;26;B;3;Y;0
2;2;0;12;0;23;22;B;1;N;0
2;2;0;12;0;3;20;W;3;N;0
2;2;0;12;0;15;25;W;3;Y;0
1;2;7;12;0;5;40;B;3;N;0
1;2;0;7;1;9;21;W;3;N;0
2;2;0;12;0;11;29;B;3;Y;0
2;2;0;10;0;14;20;W;3;N;0
2;2;0;9;2;5;22;W;3;N;0
2;2;0;8;0;5;29;W;3;Y;0
2;2;0;10;0;5;21;B;3;N;0
2;2;0;10;6;22;24;B;3;N;0
2;2;0;9;0;15;23;W;3;Y;0
2;1;0;14;1;11;51;W;3;N;0
1;1;0;2;0;19;38;B;3;N;0
2;2;0;4;3;8;18;B;3;N;0
2;2;0;10;0;7;18;W;3;N;0
1;2;0;12;0;12;28;B;3;Y;0
2;2;0;8;0;6;18;W;3;N;0
2;1;2;12;1;10;22;W;1;Y;0
2;2;0;9;3;55;24;W;3;N;0
2;1;0;10;0;2;19;W;3;N;0
2;1;0;11;0;5;21;W;3;N;0
2;2;0;8;1;11;20;W;1;N;0
2;2;2;11;2;41;27;B;3;N;0
2;2;2;9;0;15;23;W;3;N;0
2;2;0;11;1;23;21;B;1;N;0
2;2;0;10;0;8;23;B;3;N;0
1;1;3;12;0;32;60;W;3;N;0
2;2;0;10;0;10;22;W;1;Y;0
2;2;1;4;0;4;49;W;3;N;0
2;2;1;10;2;30;29;B;3;Y;0
2;1;0;12;0;3;20;W;3;N;0
1;1;1;13;0;5;41;W;3;N;0
2;2;2;8;0;5;47;B;3;Y;0
2;2;0;12;0;4;21;B;3;Y;0
2;1;0;9;1;7;23;B;3;Y;0
2;1;0;11;1;12;25;W;3;Y;0
2;2;0;10;2;16;27;W;3;N;0
2;1;0;12;1;13;23;W;3;Y;0
2;2;0;12;3;18;21;W;3;N;0
1;1;1;12;0;7;34;W;3;N;0
2;1;1;3;0;74;54;W;2;N;0
2;2;0;11;0;10;20;B;3;N;0
2;1;0;8;0;6;45;W;3;N;0
2;2;0;9;0;5;20;B;3;Y;0
2;1;0;7;1;9;42;W;3;N;0
2;2;1;14;3;133;32;W;3;Y;0
2;2;0;13;1;15;23;B;3;Y;0
1;2;6;4;0;7;50;B;3;N;0
2;2;0;7;0;4;67;W;3;N;0
1;2;0;8;0;7;26;B;1;N;0
2;2;1;9;0;7;21;B;3;Y;0
1;2;0;13;0;2;26;W;3;N;0
2;1;0;12;0;5;25;W;3;Y;0
2;1;1;7;0;5;28;W;3;N;0
1;2;8;12;0;4;39;W;3;N;0
2;2;0;7;1;16;24;W;3;N;0
2;2;0;10;1;7;20;B;3;N;0
2;1;0;12;0;15;21;W;3;Y;0
2;2;1;9;0;25;28;B;3;Y;0
2;2;0;12;0;7;24;B;3;Y;0
2;2;0;10;0;5;34;B;3;N;0
2;2;0;6;1;14;30;W;3;N;0
2;2;0;9;1;10;22;W;3;N;0
2;2;0;10;0;6;17;W;3;N;0
2;2;1;9;2;19;22;W;3;N;0
2;2;3;10;1;11;29;W;3;Y;0
2;1;0;10;0;12;35;W;3;Y;0
2;1;0;11;0;7;19;W;3;N;0
2;2;0;10;0;5;19;B;3;N;0
2;2;1;10;5;61;25;W;1;N;0
2;2;0;12;0;5;25;B;1;N;0
1;2;0;5;0;4;29;B;3;N;0
2;2;0;9;1;13;39;B;3;N;0
2;2;0;11;0;11;21;B;3;N;0
2;2;0;8;0;2;17;W;3;N;0
